tournament,game,opponent,goals_for,goals_against,circle_entries_for,circle_entries_against,shots_for,shots_against,corners_for,corners_against,corner_goals_for,corner_goals_against
1,1,upei,na,na,na,na,na,na,na,na,na,na
1,2,unb,7,0,41,4,37,1,19,0,3,0
1,3,mta,9,0,53,0,47,0,17,0,1,0
1,4,aca,4,0,51,7,31,3,9,2,2,0
2,5,upei,3,2,16,21,8,13,6,6,2,1
2,6,unb,7,0,66,0,30,0,9,0,2,0
2,7,stfx,7,0,65,7,35,3,7,0,1,0
2,8,aca,6,0,32,6,22,2,5,1,2,0
2,9,mta,6,0,52,0,56,0,13,0,3,0
3,10,stfx,4,0,39,8,27,2,14,2,2,0
3,11,smu,2,0,30,16,10,5,3,6,0,0
